Subj,Rect,Contents,Color,RT,x_coor,y_coor,time,project_id
Ellipse,"[294.0974, 464.5177, 311.5103, 481.0085]",Working ,"[1.0, 0.0, 0.0]",,302.8039,472.7631,8:00,1
Ellipse,"[340.7987, 468.2114, 358.2116, 484.7022]",Working ,"[1.0, 0.0, 0.0]",,349.5051,476.4568,8:00,1
Ellipse,"[316.4203, 475.5988, 333.8332, 492.0896]",Working ,"[1.0, 0.0, 0.0]",,325.1268,483.8442,8:00,1
Ellipse,"[291.303, 397.2922, 308.7159, 413.783]",Working ,"[1.0, 0.0, 0.0]",,300.0095,405.5376,8:00,1
Ellipse,"[291.303, 438.6617, 308.7159, 455.1525]",Working ,"[1.0, 0.0, 0.0]",,300.0095,446.9071,8:00,1
Ellipse,"[408.763, 355.1839, 426.1759, 371.6747]",Working ,"[1.0, 0.0, 0.0]",,417.4694,363.4293,8:00,1
Ellipse,"[515.8806, 443.8329, 533.2934, 460.3238]",Walking,"[1.0, 0.0, 1.0]",,524.587,452.0784,8:00,1
Ellipse,"[525.4842, 365.5263, 542.897, 382.0172]",Standing,"[1.0, 0.0, 1.0]",,534.1906,373.7717,8:00,1
Ellipse,"[581.6286, 253.9763, 599.0414, 270.4672]",Standing,"[1.0, 0.0, 1.0]",,590.335,262.2217,8:00,1
Ellipse,"[297.9517, 234.0302, 315.3645, 250.5211]",Standing,"[1.0, 0.0, 1.0]",,306.6581,242.2756,8:00,1
Ellipse,"[399.1593, 290.9134, 416.5721, 307.4043]",Walking,"[1.0, 0.6, 0.8]",,407.8657,299.1589,8:00,1
Ellipse,"[403.5918, 214.823, 421.0046, 231.3139]",Walking,"[1.0, 0.6, 0.8]",,412.2982,223.0684,8:00,1
Ellipse,"[498.1508, 418.7157, 515.5635, 435.2066]",Walking,"[1.0, 0.6, 0.8]",,506.8571,426.9611,8:00,1
Ellipse,"[502.5832, 375.8687, 519.996, 392.3596]",Walking,"[1.0, 0.6, 0.8]",,511.2896,384.1141,8:00,1
Ellipse,"[515.1418, 367.7425, 532.5546, 384.2334]",Walking,"[1.0, 0.6, 0.8]",,523.8482,375.988,8:00,1
Ellipse,"[490.0246, 380.3011, 507.4374, 396.792]",Walking,"[1.0, 0.6, 0.8]",,498.731,388.5466,8:00,1
Ellipse,"[501.1057, 364.0488, 518.5185, 380.5397]",Walking,"[1.0, 0.6, 0.8]",,509.8121,372.2943,8:00,1
Ellipse,"[498.8895, 381.7786, 516.3022, 398.2695]",Walking,"[1.0, 0.6, 0.8]",,507.5958,390.024,8:00,1
Ellipse,"[501.8445, 351.4902, 519.2572, 367.9811]",Walking,"[1.0, 0.6, 0.8]",,510.5508,359.7357,8:00,1
Ellipse,"[426.4928, 378.0849, 443.9056, 394.5758]",Walking,"[1.0, 0.6, 0.8]",,435.1992,386.3304,8:00,1
Ellipse,"[402.1143, 371.4362, 419.5271, 387.9271]",Walking,"[1.0, 0.6, 0.8]",,410.8207,379.6816,8:00,1
Ellipse,"[315.6815, 448.2654, 333.0943, 464.7563]",Walking,"[1.0, 0.6, 0.8]",,324.3879,456.5109,8:00,1
Ellipse,"[312.7265, 369.22, 330.1393, 385.7109]",Walking,"[1.0, 0.6, 0.8]",,321.4329,377.4655,8:00,1
Ellipse,"[503.3219, 344.1028, 520.7347, 360.5937]",Walking,"[1.0, 0.6, 0.8]",,512.0283,352.3483,8:00,1
Ellipse,"[532.8716, 333.0217, 550.2844, 349.5126]",Walking,"[1.0, 0.6, 0.8]",,541.578,341.2672,8:00,1
Ellipse,"[522.5292, 363.3101, 539.942, 379.801]",Walking,"[1.0, 0.6, 0.8]",,531.2356,371.5555,8:00,1
Ellipse,"[516.6193, 394.3372, 534.0321, 410.8281]",Walking,"[1.0, 0.6, 0.8]",,525.3257,402.5827,8:00,1
Ellipse,"[510.7094, 381.0399, 528.1221, 397.5308]",Walking,"[1.0, 0.6, 0.8]",,519.4158,389.2853,8:00,1
Ellipse,"[510.7094, 404.6796, 528.1221, 421.1705]",Getting water,"[1.0, 0.6, 0.8]",,519.4158,412.925,8:00,1
Ellipse,"[507.7544, 431.2743, 525.1672, 447.7652]",Getting water,"[1.0, 0.6, 0.8]",,516.4608,439.5197,8:00,1
Ellipse,"[521.7905, 445.3104, 539.2032, 461.8013]",Getting water,"[1.0, 0.6, 0.8]",,530.4968,453.5559,8:00,1
Ellipse,"[515.1418, 471.1664, 532.5546, 487.6573]",Getting water,"[1.0, 0.6, 0.8]",,523.8482,479.4119,8:00,1
Ellipse,"[526.223, 335.2379, 543.6357, 351.7288]",Getting water,"[1.0, 0.6, 0.8]",,534.9293,343.4833,8:00,1
Ellipse,"[570.5474, 358.8776, 587.9602, 375.3685]",Getting water,"[0.6, 0.2, 0.0]",,579.2538,367.123,8:00,1
Ellipse,"[628.1693, 357.4001, 645.5822, 373.8911]",Getting water,"[0.6, 0.2, 0.0]",,636.8757,365.6456,8:00,1
Ellipse,"[583.1061, 393.5985, 600.5189, 410.0894]",Getting water,"[0.6, 0.2, 0.0]",,591.8125,401.844,8:00,1
Ellipse,"[637.0342, 361.0938, 654.4471, 377.5847]",Getting water,"[0.6, 0.2, 0.0]",,645.7406,369.3392,8:00,1
